2022,,,,,,,,,,,,
,,,,,,,,,,,,
Daerah,Jumlah Bencana Banjir,,Daerah,Jumlah Rusak Berat,Jumlah Rusak Sedang,Jumlah rumah rusak ringan,Jumlah rumah terendam,,Daerah,Korban Meninggal,Korban Luka,Korban Terdampak dan Mengungsi
Banggai ,18,,Banggai ,50,19,99,422,,Banggai ,1,0,3559
Banggai Kepulauan,1,,Banggai Kepulauan,0,0,0,11,,Banggai Kepulauan,0,0,55
Banggai Laut,0,,Banggai Laut,0,0,0,0,,Banggai Laut,0,0,0
Buol,8,,Buol,0,0,0,2436,,Buol,0,0,12976
Donggala,5,,Donggala,2,0,1,557,,Donggala,0,0,3535
Kota Palu,4,,Kota Palu,0,0,0,1479,,Kota Palu,0,0,6167
Morowali,1,,Morowali,0,0,0,500,,Morowali,0,0,285
Morowali Utrara,0,,Morowali Utrara,0,0,0,0,,Morowali Utrara,0,0,0
Parigi Moutong,12,,Parigi Moutong,0,0,37,1130,,Parigi Moutong,11,0,6996
Poso,18,,Poso,0,0,150,993,,Poso,0,0,4899
Sigi,11,,Sigi,8,33,206,668,,Sigi,0,0,3916
Tojo Una Una,5,,Tojo Una Una,0,0,0,648,,Tojo Una Una,0,0,324
Toli0Toli,10,,Toli0Toli,13,0,0,2584,,Toli0Toli,0,0,13044
,,,,,,,,,,,,
Sulawesi Tengah,88,,Sulawesi Tengah,82,52,493,11428,,Sulawesi Tengah,12,0,61237
,,,,,,,,,,,,
2023,,,,,,,,,,,,
,,,,,,,,,,,,
Kabupaten / Kota,Jumlah Bencana Banjir,,Kabupaten/Kota,Rumah Rusak Berat ,Rumah Rusak Sedang ,Rumah Rusak Ringan , Rumah Terendam ,,Kabupaten/Kota, Korban Meninggal dan Hilang,Korban  Luka0luka, Korban Terdampak dan Mengungsi
Banggai ,7,,Banggai,0,35,40,174,,Banggai,0,0,70
Banggai Kepulauan ,4,,Banggai Kepulauan,0,0,0,88,,Banggai Kepulauan,0,0,16
Banggai Laut ,0,,Banggai Laut,0,0,0,0,,Banggai Laut,0,0,0
Buol ,2,,Buol,0,0,1,743,,Buol,0,0,3621
